painter,painterLabel,date_of_birth,image,place_of_birth,place_of_birthLabel,movement,movementLabel,lon,lat,latlon,annee,mois,heure
http://www.wikidata.org/entity/Q13368668,Maurice Biais,1872-12-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Maurice%20Biais-Poster%20for%20Saharet%20%28without%20location%29%2C%20c%201902.jpg,http://www.wikidata.org/entity/Q208812,Corbeil-Essonnes,http://www.wikidata.org/entity/Q34636,Art Nouveau,2.474722222,48.61027778,"48.610277777,2.474722222",1872,12,30T00:00:00Z
http://www.wikidata.org/entity/Q12955922,eL Seed,1981-08-21T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/EL%20Seed%20%28cropped%29.jpg,http://www.wikidata.org/entity/Q237281,Le Chesnay,http://www.wikidata.org/entity/Q17516,street art,2.130277777,48.82027778,"48.820277777,2.130277777",1981,8,21T00:00:00Z
http://www.wikidata.org/entity/Q610202,Jules Chéret,1836-05-31T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ch%C3%A9ret%2C%20Jules%2C%20Nadar%2C%20Gallica.jpg,http://www.wikidata.org/entity/Q15149908,former 11th arrondissement of Paris,http://www.wikidata.org/entity/Q34636,Art Nouveau,2.332578,48.850555,"48.850555,2.332578",1836,5,31T00:00:00Z
http://www.wikidata.org/entity/Q161145,Horace Vernet,1789-06-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Horace%20Vernet%20Adrien%20Nadar%201858.jpg,http://www.wikidata.org/entity/Q90,Paris,http://www.wikidata.org/entity/Q37068,Romanticism,2.352222222,48.85666667,"48.856666666,2.352222222",1789,6,30T00:00:00Z
http://www.wikidata.org/entity/Q6682,Gustave Doré,1832-01-06T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Photograph%20of%20Gustave%20Dor%C3%A9%20by%20Nadar%2C%20between%201856%20and%201858.jpg,http://www.wikidata.org/entity/Q6602,Strasbourg,http://www.wikidata.org/entity/Q37068,Romanticism,7.752222222,48.57333333,"48.573333333,7.752222222",1832,1,06T00:00:00Z
http://www.wikidata.org/entity/Q124535760,Victor Charlier-Teutsch,1866-06-25T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Victor%20Charlier-Teutsch.jpg,http://www.wikidata.org/entity/Q22741,Saverne,http://www.wikidata.org/entity/Q34636,Art Nouveau,7.361944444,48.74138889,"48.741388888,7.361944444",1866,6,25T00:00:00Z
http://www.wikidata.org/entity/Q184212,Théodore Géricault,1791-09-26T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Horace%20Vernet%2C%20Jean-Louis-Andr%C3%A9-Th%C3%A9odore%20Gericault%2C%20probably%201822%20or%201823%2C%201998.84%2C%20MET.jpg,http://www.wikidata.org/entity/Q30974,Rouen,http://www.wikidata.org/entity/Q37068,Romanticism,1.1025,49.44305556,"49.443055555,1.1025",1791,9,26T00:00:00Z
http://www.wikidata.org/entity/Q182791,Jean-Baptiste Carpeaux,1827-05-11T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Carpeaux%20self-portrait%20-%20Fontaine%202000%20p25.jpg,http://www.wikidata.org/entity/Q163795,Valenciennes,http://www.wikidata.org/entity/Q37068,Romanticism,3.523333333,50.35805556,"50.358055555,3.523333333",1827,5,11T00:00:00Z
http://www.wikidata.org/entity/Q23380,Jean-Auguste-Dominique Ingres,1780-08-29T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Ingres%2C%20Self-portrait.jpg,http://www.wikidata.org/entity/Q172593,Montauban,http://www.wikidata.org/entity/Q37068,Romanticism,1.355,44.01722222,"44.017222222,1.355",1780,8,29T00:00:00Z
http://www.wikidata.org/entity/Q183713,Théophile Gautier,1811-08-30T00:00:00Z,http://commons.wikimedia.org/wiki/Special:FilePath/Th%C3%A9ophile%20Gautier%20by%20Nadar.png,http://www.wikidata.org/entity/Q184023,Tarbes,http://www.wikidata.org/entity/Q37068,Romanticism,0.074444444,43.23277778,"43.232777777,0.074444444",1811,8,30T00:00:00Z
